0,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Negative
6,Negative
7,Negative
8,Negative
9,Negative
10,Neutral
11,Neutral
12,Negative
13,Neutral
14,Negative
15,Neutral
16,Negative
17,Neutral
18,Negative
19,Neutral
20,Negative
21,Neutral
22,Neutral
23,Neutral
24,Neutral
25,Neutral
26,Neutral
27,Neutral
28,Neutral
29,Negative
30,Neutral
31,Neutral
32,Negative
33,Negative
34,Negative
35,Neutral
36,Neutral
37,Negative
38,Negative
39,Negative
40,Negative
41,Negative
42,Negative
43,Neutral
44,Negative
45,Neutral
46,Negative
47,Negative
48,Neutral
49,Negative
50,Negative
51,Neutral
52,Neutral
53,Neutral
54,Neutral
55,Neutral
56,Neutral
57,Negative
58,Neutral
59,Neutral
60,Negative
61,Neutral
62,Negative
63,Neutral
64,Negative
65,Neutral
66,Neutral
67,Neutral
68,Negative
69,Negative
70,Negative
71,Neutral
72,Negative
73,Negative
74,Negative
75,Negative
76,Negative
77,Neutral
78,Neutral
79,Negative
80,Neutral
81,Negative
82,Negative
83,Negative
84,Negative
85,Negative
86,Negative
87,Neutral
88,Negative
89,Negative
90,Negative
91,Neutral
92,Negative
93,Neutral
94,Neutral
95,Neutral
