,ECG,EDA,Photosensor,RSP
0,0.023040771484375,3.294371417706188,5.0,-6.6375732421875
1,0.024566650390625,3.292845538799938,5.0,-6.63604736328125
2,0.02593994140625,3.292845538799938,5.0,-6.6424560546875
3,0.027008056640625,3.292845538799938,5.0,-6.641845703125
4,0.027313232421875,3.292845538799938,5.0,-6.64276123046875
5,0.0286865234375,3.292845538799938,5.0,-6.63848876953125
6,0.028533935546875,3.292845538799938,5.0,-6.640625
7,0.029754638671875,3.292845538799938,5.0,-6.63848876953125
8,0.03021240234375,3.292845538799938,5.0,-6.63787841796875
9,0.029754638671875,3.282164386456188,5.0,-6.63787841796875
10,0.030975341796875,3.282164386456188,5.0,-6.63726806640625
11,0.032501220703125,3.282164386456188,5.0,-6.63330078125
12,0.0341796875,3.282164386456188,5.0,-6.6339111328125
13,0.03692626953125,3.282164386456188,5.0,-6.6339111328125
14,0.037994384765625,3.282164386456188,5.0,-6.63360595703125
15,0.039825439453125,3.282164386456188,5.0,-6.632080078125
16,0.041351318359375,3.282164386456188,5.0,-6.6326904296875
17,0.042877197265625,3.282164386456188,5.0,-6.63238525390625
18,0.044403076171875,3.282164386456188,5.0,-6.63482666015625
19,0.0457763671875,3.282164386456188,5.0,-6.63787841796875
20,0.045623779296875,3.282164386456188,5.0,-6.6387939453125
21,0.044708251953125,3.282164386456188,5.0,-6.6351318359375
22,0.0439453125,3.282164386456188,5.0,-6.639404296875
23,0.04241943359375,3.282164386456188,5.0,-6.63818359375
24,0.040435791015625,3.282164386456188,5.0,-6.63848876953125
25,0.039215087890625,3.282164386456188,5.0,-6.63665771484375
26,0.036773681640625,3.282164386456188,5.0,-6.64306640625
27,0.034332275390625,3.282164386456188,5.0,-6.641845703125
28,0.0323486328125,3.282164386456188,5.0,-6.64215087890625
29,0.0299072265625,3.282164386456188,5.0,-6.63848876953125
30,0.028076171875,3.282164386456188,5.0,-6.6400146484375
31,0.02655029296875,3.282164386456188,5.0,-6.63970947265625
32,0.0244140625,3.282164386456188,5.0,-6.63970947265625
33,0.022125244140625,3.282164386456188,5.0,-6.63848876953125
34,0.019683837890625,3.282164386456188,5.0,-6.63970947265625
35,0.01617431640625,3.282164386456188,5.0,-6.6351318359375
36,0.012054443359375,3.282164386456188,5.0,-6.6351318359375
37,0.009613037109375,3.282164386456188,5.0,-6.63543701171875
38,0.00701904296875,3.282164386456188,5.0,-6.63604736328125
39,0.00457763671875,3.282164386456188,5.0,-6.6351318359375
40,0.00244140625,3.282164386456188,5.0,-6.634521484375
41,-0.001373291015625,3.283690265362438,5.0,-6.634521484375
42,-0.0042724609375,3.283690265362438,5.0,-6.6351318359375
43,-0.008087158203125,3.283690265362438,5.0,-6.6400146484375
44,-0.01190185546875,3.283690265362438,5.0,-6.641845703125
45,-0.016021728515625,3.283690265362438,5.0,-6.63970947265625
46,-0.020904541015625,3.283690265362438,5.0,-6.64520263671875
47,-0.025634765625,3.283690265362438,5.0,-6.6461181640625
48,-0.030517578125,3.283690265362438,5.0,-6.644287109375
49,-0.0341796875,3.271483234112438,5.0,-6.64642333984375
50,-0.037841796875,3.271483234112438,5.0,-6.64947509765625
51,-0.040130615234375,3.271483234112438,5.0,-6.64764404296875
52,-0.042572021484375,3.271483234112438,5.0,-6.64825439453125
53,-0.044097900390625,3.271483234112438,5.0,-6.646728515625
54,-0.04486083984375,3.271483234112438,5.0,-6.64581298828125
55,-0.046234130859375,3.271483234112438,5.0,-6.64642333984375
56,-0.0469970703125,3.271483234112438,5.0,-6.6455078125
57,-0.048370361328125,3.271483234112438,5.0,-6.64642333984375
58,-0.048370361328125,3.271483234112438,5.0,-6.64642333984375
59,-0.049591064453125,3.271483234112438,5.0,-6.6534423828125
60,-0.05035400390625,3.271483234112438,5.0,-6.65374755859375
61,-0.0506591796875,3.271483234112438,5.0,-6.651611328125
62,-0.0518798828125,3.271483234112438,5.0,-6.6546630859375
63,-0.052337646484375,3.271483234112438,5.0,-6.6522216796875
64,-0.05340576171875,3.271483234112438,5.0,-6.654052734375
65,-0.054168701171875,3.266905597393688,5.0,-6.6522216796875
66,-0.0543212890625,3.266905597393688,5.0,-6.656494140625
67,-0.055694580078125,3.266905597393688,5.0,-6.65740966796875
68,-0.05523681640625,3.266905597393688,5.0,-6.6552734375
69,-0.055694580078125,3.266905597393688,5.0,-6.65374755859375
70,-0.055999755859375,3.266905597393688,5.0,-6.65618896484375
71,-0.054473876953125,3.266905597393688,5.0,-6.6552734375
72,-0.05279541015625,3.266905597393688,5.0,-6.6571044921875
73,-0.050201416015625,3.271483234112438,5.0,-6.65252685546875
74,-0.046844482421875,3.271483234112438,5.0,-6.6558837890625
75,-0.044708251953125,3.271483234112438,5.0,-6.6473388671875
76,-0.043182373046875,3.271483234112438,5.0,-6.6448974609375
77,-0.04180908203125,3.271483234112438,5.0,-6.64459228515625
78,-0.041046142578125,3.271483234112438,5.0,-6.644287109375
79,-0.039825439453125,3.271483234112438,5.0,-6.644287109375
80,-0.039825439453125,3.271483234112438,5.0,-6.64398193359375
81,-0.0390625,3.269957355206188,5.0,-6.64337158203125
82,-0.038299560546875,3.269957355206188,5.0,-6.64398193359375
83,-0.038604736328125,3.269957355206188,5.0,-6.64581298828125
84,-0.0384521484375,3.269957355206188,5.0,-6.64703369140625
85,-0.03814697265625,3.269957355206188,5.0,-6.64947509765625
86,-0.038909912109375,3.269957355206188,5.0,-6.6485595703125
87,-0.040130615234375,3.269957355206188,5.0,-6.65008544921875
88,-0.040740966796875,3.269957355206188,5.0,-6.64947509765625
